HCHO reading,Location,Current Date,Next Date
0.000319154,Kandy Proper,9/27/2019,9/28/2019
,Kandy Proper,9/28/2019,9/29/2019
0.000165876,Kandy Proper,9/29/2019,9/30/2019
,Kandy Proper,9/30/2019,10/1/2019
-4.70E-05,Kandy Proper,10/1/2019,10/2/2019
-1.48E-05,Kandy Proper,10/2/2019,10/3/2019
7.28E-05,Kandy Proper,10/3/2019,10/4/2019
0.000135352,Kandy Proper,10/4/2019,10/5/2019
0.000211714,Kandy Proper,10/5/2019,10/6/2019
,Kandy Proper,10/6/2019,10/7/2019
,Kandy Proper,10/7/2019,10/8/2019
0.000259435,Kandy Proper,10/8/2019,10/9/2019
5.50E-05,Kandy Proper,10/9/2019,10/10/2019
0.000184301,Kandy Proper,10/10/2019,10/11/2019
,Kandy Proper,10/11/2019,10/12/2019
-8.12E-06,Kandy Proper,10/12/2019,10/13/2019
0.00016835,Kandy Proper,10/13/2019,10/14/2019
6.31E-05,Kandy Proper,10/14/2019,10/15/2019
7.17E-05,Kandy Proper,10/15/2019,10/16/2019
,Kandy Proper,10/16/2019,10/17/2019
,Kandy Proper,10/17/2019,10/18/2019
-5.45E-05,Kandy Proper,10/18/2019,10/19/2019
6.53E-06,Kandy Proper,10/19/2019,10/20/2019
,Kandy Proper,10/20/2019,10/21/2019
,Kandy Proper,10/21/2019,10/22/2019
,Kandy Proper,10/22/2019,10/23/2019
,Kandy Proper,10/23/2019,10/24/2019
,Kandy Proper,10/24/2019,10/25/2019
0.000128188,Kandy Proper,10/25/2019,10/26/2019
,Kandy Proper,10/26/2019,10/27/2019
,Kandy Proper,10/27/2019,10/28/2019
,Kandy Proper,10/28/2019,10/29/2019
0.000145188,Kandy Proper,10/29/2019,10/30/2019
,Kandy Proper,10/30/2019,10/31/2019
0.000158368,Kandy Proper,10/31/2019,11/1/2019
8.04E-06,Kandy Proper,11/1/2019,11/2/2019
0.00012067,Kandy Proper,11/2/2019,11/3/2019
,Kandy Proper,11/3/2019,11/4/2019
-1.15E-05,Kandy Proper,11/4/2019,11/5/2019
0.000106035,Kandy Proper,11/5/2019,11/6/2019
0.00019426,Kandy Proper,11/6/2019,11/7/2019
0.000121822,Kandy Proper,11/7/2019,11/8/2019
0.000108085,Kandy Proper,11/8/2019,11/9/2019
,Kandy Proper,11/9/2019,11/10/2019
,Kandy Proper,11/10/2019,11/11/2019
,Kandy Proper,11/11/2019,11/12/2019
0.000100782,Kandy Proper,11/12/2019,11/13/2019
0.000151877,Kandy Proper,11/13/2019,11/14/2019
8.00E-05,Kandy Proper,11/14/2019,11/15/2019
-6.18E-06,Kandy Proper,11/15/2019,11/16/2019
,Kandy Proper,11/16/2019,11/17/2019
0.000215709,Kandy Proper,11/17/2019,11/18/2019
,Kandy Proper,11/18/2019,11/19/2019
0.000250872,Kandy Proper,11/19/2019,11/20/2019
7.94E-05,Kandy Proper,11/20/2019,11/21/2019
0.00013185,Kandy Proper,11/21/2019,11/22/2019
,Kandy Proper,11/22/2019,11/23/2019
,Kandy Proper,11/23/2019,11/24/2019
,Kandy Proper,11/24/2019,11/25/2019
,Kandy Proper,11/25/2019,11/26/2019
,Kandy Proper,11/26/2019,11/27/2019
-0.000178888,Kandy Proper,11/27/2019,11/28/2019
,Kandy Proper,11/28/2019,11/29/2019
,Kandy Proper,11/29/2019,11/30/2019
,Kandy Proper,11/30/2019,12/1/2019
